code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00700,2023-03-13 00:00:00,338.0,342.4,349.2,335.0,11.997,0.00284,27127633,9329027129.0,4.009720534629401,329.2
HK.00700,2023-03-14 00:00:00,339.0,339.2,350.2,336.6,11.886,0.00223,21324692,7365989508.0,-0.9345794392523332,342.4
HK.00700,2023-03-15 00:00:00,348.0,342.2,351.4,341.8,11.99,0.00173,16570551,5773864536.0,0.8844339622641509,339.2
HK.00700,2023-03-16 00:00:00,338.0,333.6,342.6,331.4,11.691,0.00248,23728825,8035602057.0,-2.5131502045587277,342.2
HK.00700,2023-03-17 00:00:00,338.4,337.0,344.2,337.0,11.809,0.00303,29033159,9926040093.0,1.0191846522781707,333.6
HK.00700,2023-03-20 00:00:00,334.6,332.4,337.0,328.6,11.649,0.00214,20437066,6833299619.0,-1.3649851632047545,337.0
HK.00700,2023-03-21 00:00:00,332.4,341.2,344.6,328.0,11.955,0.00222,21276362,7210706944.0,2.6474127557160085,332.4
HK.00700,2023-03-22 00:00:00,344.6,344.8,351.2,343.8,12.081,0.00205,19654793,6873877002.0,1.055099648300124,341.2
HK.00700,2023-03-23 00:00:00,351.2,373.2,373.4,350.0,17.053,0.0049,46850205,17188995531.0,8.23665893271461,344.8
HK.00700,2023-03-24 00:00:00,377.6,374.4,385.0,372.4,17.107,0.00347,33215505,12590328306.0,0.32154340836012557,373.2
HK.00700,2023-03-27 00:00:00,372.2,360.4,375.6,360.2,16.472,0.0027,25798653,9482608808.0,-3.7393162393162394,374.4
HK.00700,2023-03-28 00:00:00,364.4,375.8,378.6,364.4,17.171,0.00328,31337657,11776617712.0,4.273029966703672,360.4
HK.00700,2023-03-29 00:00:00,394.6,382.4,395.2,379.6,17.471,0.00377,36095299,14010524765.0,1.756253326237351,375.8
HK.00700,2023-03-30 00:00:00,387.4,382.6,387.4,377.8,17.48,0.00264,25243232,9710991382.0,0.05230125523013742,382.4
HK.00700,2023-03-31 00:00:00,387.6,383.4,391.6,381.6,17.517,0.00271,25957481,10092564504.0,0.20909566126501686,382.6
HK.00700,2023-04-03 00:00:00,386.6,385.8,388.6,382.6,17.626,0.00196,18773494,7283136350.0,0.6259780907668321,383.4
HK.00700,2023-04-04 00:00:00,380.8,382.6,386.2,379.8,17.48,0.00149,14254252,5484701478.0,-0.8294453084499711,385.8
HK.00700,2023-04-06 00:00:00,381.6,383.0,385.2,378.2,17.499,0.00156,14945689,5735688750.0,0.10454783063250843,382.6
HK.00700,2023-04-11 00:00:00,386.6,374.2,387.6,369.0,17.1,0.00229,21931068,8304864538.0,-2.297650130548306,383.0
HK.00700,2023-04-12 00:00:00,368.6,354.8,369.2,351.8,16.221,0.00423,40470596,14607065137.0,-5.184393372528054,374.2
HK.00700,2023-04-13 00:00:00,347.6,360.8,361.6,345.0,16.494,0.00261,24956481,8897620125.0,1.6910935738444193,354.8
HK.00700,2023-04-14 00:00:00,364.0,363.0,365.8,356.6,16.594,0.00133,12744724,4633061402.0,0.6097560975609724,360.8
HK.00700,2023-04-17 00:00:00,362.2,368.6,369.6,358.0,16.849,0.00164,15710199,5769985870.0,1.5426997245179126,363.0
HK.00700,2023-04-18 00:00:00,368.6,363.0,368.6,358.6,16.594,0.00143,13686354,4986471516.0,-1.519262072707548,368.6
